sys_sql_id,in_HAS_SEG_PROFILE_THEME_E,in_HAS_SEG_TAXONOMY_ASPECT_E,name,keywords
2,"[#105:4, #106:13]","[#107:1, #108:29, #107:58, #108:86, #107:115, #108:143]",bar,"[ drink, drinks, bartender, bartenders, mocktail, mocktails, cocktails, bar, cocktail, brewers, brewery, breweries, micro brewery, toast]"
4,[#106:2],"[#107:2, #108:30, #107:59, #108:87, #107:116, #108:144]",breakfast,"[ egg, eggs, fruit, fruits, pancake, pancakes, cookie, cookies, snack, bfast, breakfast, bf, breakfasts, break fast, brunch, waffles, omelette, omlette, bacon, toast, bread, bread toast, brown bread, juice, canned juice, salads, oj, salad, beans, sprout, sprouts, french toast, butter, jam, juices, oatmeal, porridge, yogurt, yogurts, bun, buns, sandwich, sandwiches, apple, Bagel, cereals, Fruit basket, nibbles]"
6,[#105:5],"[#107:3, #108:31, #107:60, #108:88, #107:117, #108:145]",cuisines,"[ vegetarian cuisine, non-vegetarian cuisine, continental cuisine, south indian cuisine, american cuisine, indian cuisine, continental cuisine, south indian food, american food, north indian cuisine, english cuisine cuisine, cuisine, gujarati cuisine, east indian cuisine, thai cuisine, japanese cuisine, mediterranean cuisine, italian cuisine, korean cuisine, tibetian cuisine, jain cuisine, multi-cuisine, oriental meal, arabic cuisine, arabian cusine, arabian food, mexican cuisine, tex mex, tex-mex, asian cuisine, asian food, chinese cuisine, chinese food, vietnamese cuisine, lebanese cuisine, lebanese food, french food, cuisines, french cuisine, Oriental Cuisine, Outlet]"
8,[#106:3],"[#107:4, #108:32, #107:61, #108:89, #107:118, #108:146]",food,"[ starters, soup, soups, platter, carte, vegetarian, seafood, sea-food, seafoods, sea-foods, flavor, flavour, flavors, flavours, spicy, sauce, spices, spice, vegetables, food, spread, food spread, foods, alacarte, ala carte, snacks, buffet, main course, diet food, menu, food item, food items, meals, accompaniment, meal, lunch, dinner, chicken, sidedish, side dish, pork, prawns, fish, fish fry, food option, food options, options, food selection, food choice, food choices, food variety, food varities, dish, delicacy, varity, varities, culinary, almond, appetite, appetizer, assortment, Bakery, canapes, Chaat, chat, course, item, list, Refreshments, Sachets]"
10,[#105:6],"[#107:5, #108:33, #107:62, #108:90, #107:119, #108:147]",indian food,"[ curry, curries, thali, kebab, kebabs, kabab, kababs, tikka, dal, makhni, makhani, masala, paneer, chilly chicken, biryani, rice, roti, naan, kulcha, butter naan, butter kulcha, tandoor roti]"
12,"[#106:4, #105:13]","[#107:6, #108:34, #107:63, #108:91, #107:120, #108:148]",ambience,"[ environment, look, feel, surroundings, sound, sounds, beauty, breeze, culture, peace, mood, sunset, vibe, vibes, scene, fragrance, fragrances, calm, aroma, aromas, noise, surrounding, ecofriendly, atmosphere, quality, ambience, ambiance]"
14,,"[#107:7, #108:35, #107:64, #108:92, #107:121, #108:149]",hotel decor,"[ decor, decors, style, wall, walls, setting, exterior, exteriors, setup, set-up, facade, technology, tech, display, displays, hotel decor, architecture, infrastructure, landscape, hotel outlook, hotel appearance, hotel condition, hotel style, entrance, gallery, lobby, corridor, hotel interior, d�cor, aesthetic, gate, gateway, highlight, Paint, step]"
16,,"[#107:8, #108:36, #107:65, #108:93, #107:122, #108:150]",hotel location,"[ area, areas, eateries, eatery, vicinity, spot, accessibility, base, neighborhood, neighborhoods, reach, path, paths, lanes, lane, track, alley, alleys, address, access, location, locations, congestion, road, convenience, distance, proximity, location access, hotel location, place, places, neighbourhood, locality, localities, avenue, Bay, Bazaar, Bazar, Bridge, Circle, close, destination, destinations, downtown, highway, home, hospital, hub, Island, Lagoon, landmark, Neighbouhood, Orchard, Outside, terminal]"
18,,"[#107:9, #108:37, #107:66, #108:94, #107:123, #108:151]",sightseeing,"[ lake, lakes, sightseeing, sight, sights, pond, river, rivers, waterfall, waterfalls, attraction, mountains, river, site, street, tower]"
20,"[#106:9, #105:14]","[#107:10, #108:38, #107:67, #108:95, #107:124, #108:152]",entertainment,"[ party, fun, parties, band, bands, performance, performances, dj, disco, discotheque, nightlife, night-life, singing, programs, programmes, entertainment, bonfire, karaoke, vocalist, orchestra, movie, plays, theatre, exhibition, pub, art, dance, singer, musician, shows, club, shopping, night club, live music, livemusic, music, painter, nightclubs, weekend, anniversary, Birthday, broadway, camp, celebration, christmas, deck, event, Festival, function, honeymoon, occasion, Outing, Play, Season, songs, wedding]"
